trip_id,stop_id,next_stop_id,travel_time,u,v
4_I12-005_2023I12_2_1_4__5___,par_4_78,par_4_77,84.0,86,85
4_I12-005_2023I12_2_1_4__5___,par_4_77,par_4_76,147.0,85,84
4_I12-005_2023I12_2_1_4__5___,par_4_76,par_4_75,119.0,84,83
4_I12-005_2023I12_2_1_4__5___,par_4_75,par_4_74,153.0,83,82
4_I12-005_2023I12_2_1_4__5___,par_4_74,par_4_253,218.0,82,81
4_I12-005_2023I12_2_1_4__5___,par_4_253,par_4_252,114.0,81,80
4_I12-008_2023I12_1_1_4__8___,par_4_155,par_4_156,157.0,167,168
4_I12-008_2023I12_1_1_4__8___,par_4_156,par_4_258,242.0,168,173
4_I12-008_2023I12_1_1_4__8___,par_4_258,par_4_157,73.0,173,169
4_I12-008_2023I12_1_1_4__8___,par_4_157,par_4_158,184.0,169,170
4_I12-008_2023I12_1_1_4__8___,par_4_158,par_4_159,339.0,170,171
4_I12-008_2023I12_1_1_4__8___,par_4_159,par_4_160,118.0,171,172
4_I12-008_2023I12_1_1_4__8___,par_4_160,par_4_285,175.0,172,174
4_I12-008_2023I12_2_1_4__8___,par_4_285,par_4_160,175.0,174,172
4_I12-008_2023I12_2_1_4__8___,par_4_160,par_4_159,118.0,172,171
4_I12-008_2023I12_2_1_4__8___,par_4_159,par_4_158,339.0,171,170
4_I12-008_2023I12_2_1_4__8___,par_4_158,par_4_157,184.0,170,169
4_I12-008_2023I12_2_1_4__8___,par_4_157,par_4_258,73.0,169,173
4_I12-008_2023I12_2_1_4__8___,par_4_258,par_4_156,243.0,173,168
4_I12-008_2023I12_2_1_4__8___,par_4_156,par_4_155,156.0,168,167
4_I12-011_2023I12_1_1_4__11___,par_4_206,par_4_207,124.0,235,236
4_I12-011_2023I12_1_1_4__11___,par_4_207,par_4_208,106.0,236,237
4_I12-011_2023I12_1_1_4__11___,par_4_208,par_4_254,88.0,237,238
4_I12-011_2023I12_1_1_4__11___,par_4_254,par_4_255,157.0,238,239
4_I12-011_2023I12_1_1_4__11___,par_4_255,par_4_256,126.0,239,240
4_I12-011_2023I12_1_1_4__11___,par_4_256,par_4_305,331.0,240,241
4_I12-011_2023I12_2_1_4__11___,par_4_305,par_4_256,331.0,241,240
4_I12-011_2023I12_2_1_4__11___,par_4_256,par_4_255,127.0,240,239
4_I12-011_2023I12_2_1_4__11___,par_4_255,par_4_254,156.0,239,238
4_I12-011_2023I12_2_1_4__11___,par_4_254,par_4_208,88.0,238,237
4_I12-011_2023I12_2_1_4__11___,par_4_208,par_4_207,107.0,237,236
4_I12-011_2023I12_2_1_4__11___,par_4_207,par_4_206,123.0,236,235
4_I12-061_2023I12_1_1_4__6_1__,par_4_104,par_4_105,97.0,108,109
4_I12-061_2023I12_1_1_4__6_1__,par_4_105,par_4_106,126.0,109,110
